-2.135000.6, 20.289000.6, -5.254000.6, -0.047000.6, 0.448000.6, 0.893000.6
-10.202000.6, 17.665000.6, -5.252000.6, -0.225000.6, 0.390000.6, 0.893000.6
-16.504000.6, 11.992000.6, -5.254000.6, -0.364000.6, 0.265000.6, 0.893000.6
-19.954000.6, 4.241000.6, -5.254000.6, -0.441000.6, 0.094000.6, 0.893000.6
-19.953000.6, -4.239000.6, -5.253000.6, -0.441000.6, -0.094000.6, 0.893000.6
-16.503000.6, -11.992000.6, -5.255000.6, -0.364000.6, -0.265000.6, 0.893000.6
-10.201000.6, -17.665000.6, -5.254000.6, -0.225000.6, -0.390000.6, 0.893000.6
-2.133000.6, -20.294000.6, -5.258000.6, -0.047000.6, -0.448000.6, 0.893000.6
6.303000.6, -19.411000.6, -5.260000.6, 0.139000.6, -0.428000.6, 0.893000.6
13.655000.6, -15.169000.6, -5.260000.6, 0.301000.6, -0.335000.6, 0.893000.6
18.632000.6, -8.293000.6, -5.251000.6, 0.411000.6, -0.183000.6, 0.893000.6
20.399000.6, 0.003000.6, -5.254000.6, 0.450000.6, 0.000000.6, 0.893000.6
21.315000.6, -0.004000.6, -5.726000.6, 0.465000.6, 0.000000.6, 0.885000.6
19.470000.6, 8.673000.6, -5.725000.6, 0.425000.6, 0.189000.6, 0.885000.6
14.260000.6, 15.849000.6, -5.728000.6, 0.311000.6, 0.345000.6, 0.885000.6
6.585000.6, 20.271000.6, -5.724000.6, 0.144000.6, 0.442000.6, 0.885000.6
-2.231000.6, 21.207000.6, -5.730000.6, -0.049000.6, 0.462000.6, 0.885000.6
-10.658000.6, 18.459000.6, -5.723000.6, -0.232000.6, 0.402000.6, 0.885000.6
-17.248000.6, 12.525000.6, -5.725000.6, -0.376000.6, 0.273000.6, 0.885000.6
-20.846000.6, 4.432000.6, -5.724000.6, -0.455000.6, 0.097000.6, 0.885000.6
-20.851000.6, -4.441000.6, -5.727000.6, -0.455000.6, -0.097000.6, 0.885000.6
-17.241000.6, -12.531000.6, -5.725000.6, -0.376000.6, -0.273000.6, 0.885000.6
-10.656000.6, -18.457000.6, -5.725000.6, -0.232000.6, -0.402000.6, 0.885000.6
-2.229000.6, -21.189000.6, -5.721000.6, -0.049000.6, -0.462000.6, 0.885000.6
6.585000.6, -20.262000.6, -5.721000.6, 0.144000.6, -0.442000.6, 0.885000.6
14.259000.6, -15.836000.6, -5.723000.6, 0.311000.6, -0.345000.6, 0.885000.6
19.474000.6, -8.669000.6, -5.727000.6, 0.425000.6, -0.189000.6, 0.885000.6
21.315000.6, 0.003000.6, -5.726000.6, 0.465000.6, 0.000000.6, 0.885000.6
22.226000.6, -0.004000.6, -6.213000.6, 0.478000.6, 0.000000.6, 0.878000.6
20.300000.6, 9.042000.6, -6.210000.6, 0.437000.6, 0.195000.6, 0.878000.6
14.875000.6, 16.521000.6, -6.215000.6, 0.320000.6, 0.356000.6, 0.878000.6
6.865000.6, 21.140000.6, -6.213000.6, 0.148000.6, 0.455000.6, 0.878000.6
-2.328000.6, 22.103000.6, -6.211000.6, -0.050000.6, 0.476000.6, 0.878000.6
-11.114000.6, 19.254000.6, -6.215000.6, -0.239000.6, 0.414000.6, 0.878000.6
-17.981000.6, 13.066000.6, -6.212000.6, -0.387000.6, 0.281000.6, 0.878000.6
-21.739000.6, 4.626000.6, -6.212000.6, -0.468000.6, 0.099000.6, 0.878000.6
-21.740000.6, -4.626000.6, -6.213000.6, -0.468000.6, -0.099000.6, 0.878000.6
-17.981000.6, -13.065000.6, -6.213000.6, -0.387000.6, -0.281000.6, 0.878000.6
-11.112000.6, -19.250000.6, -6.214000.6, -0.239000.6, -0.414000.6, 0.878000.6
-2.327000.6, -22.121000.6, -6.224000.6, -0.050000.6, -0.476000.6, 0.878000.6
6.865000.6, -21.144000.6, -6.217000.6, 0.148000.6, -0.455000.6, 0.878000.6
14.870000.6, -16.511000.6, -6.210000.6, 0.320000.6, -0.356000.6, 0.878000.6
20.303000.6, -9.043000.6, -6.213000.6, 0.437000.6, -0.195000.6, 0.878000.6
22.227000.6, 0.003000.6, -6.213000.6, 0.478000.6, 0.000000.6, 0.878000.6
23.137000.6, -0.003000.6, -6.718000.6, 0.492000.6, 0.000000.6, 0.871000.6
